"sample","Kracken_Unclassified","Kracken_Bacteria","Kracken_Mycobacterium","Kracken_MTBC","Kracken_M.tuberculosis","human","Kracken_Bacteria_Myco_Ratio","Kracken_Myco_MTBC_Ratio","Bacterial_Contamination","Mycobacterial_Contamination"
"ERR2002984",2.42,97.57,97.33,15.61,"7.08","0",1.00246583784583,6.23510536610472,"no","no"
"ERR2002985",2.08,97.91,97.65,15.84,"7.38","0",1.00266257037724,6.16477240121386,"no","no"
"ERR2124075",0.07,99.93,99.84,18.43,"9.03","0",1.00090144229866,5.41725423671979,"no","no"
"ERR2124076",0.11,99.88,99.69,17.53,"8.37","0.01",1.00190590829666,5.68682232248589,"no","no"
"ERR2124077",0.13,99.87,99.75,17.89,"8.53","0",1.00120300750674,5.57574038145666,"no","no"
"ERR2124078",0.37,99.6,99.27,16.17,"7.45","0",1.00332426711671,6.13914624989819,"no","no"
"ERR2124079",0.23,99.75,99.52,17.34,"8.32","0",1.00231109322437,5.73933075321045,"no","no"
"ERR2124080",0.5,99.46,99.06,17.16,"8.2","0.01",1.0040379567531,5.77272699459633,"no","no"
"ERR2124081",0.72,99.25,98.45,14.65,"6.6","0.02",1.00812595217749,6.72013612831835,"no","no"
"ERR2124082",0.36,99.62,99.33,16.44,"7.54","0.01",1.0029195610297,6.0419704962305,"no","no"
"ERR2124083",0.18,99.76,99.05,16.04,"7.68","0",1.00716809684838,6.17518670977639,"no","no"
"ERR2124084",0.16,99.83,99.48,16.02,"7.04","0",1.00351829509933,6.20973750251326,"no","no"
"ERR2124085",0.33,99.63,99.01,16.57,"7.83","0",1.00626199367476,5.97525618737138,"no","no"
"ERR2124086",0.15,99.83,99.39,16,"7.42","0",1.0044270046843,6.21187467425783,"no","no"
"ERR2124087",0.14,99.85,99.69,16.36,"7.57","0",1.00160497540771,6.09352047105621,"no","no"
"ERR2124088",0.28,99.68,98.68,19.05,"9.6","0.01",1.01013376560464,5.180052274013,"no","no"
"ERR2124089",0.08,99.91,99.81,16.09,"7.46","0.01",1.00100190360683,6.2032314976239,"no","no"
"ERR2124090",0.21,99.73,98.81,17.54,"8.31","0.03",1.00931079840795,5.63340908589458,"no","no"
"ERR2124091",0.35,99.63,98.93,15.31,"6.76","0",1.00707571002653,6.46178932320122,"no","no"
"ERR2124092",0.18,99.8,99.18,17.96,"7.92","0.01",1.00625126027172,5.5222714631252,"no","no"
"ERR2124093",0.28,99.7,99.19,18.25,"8.4","0.01",1.00514164729165,5.43506825013325,"no","no"
"ERR2124094",0.13,99.84,99.54,15.33,"6.72","0.03",1.00301386374308,6.49315032660468,"no","no"
"ERR2124095",0.19,99.8,99.62,16.53,"7.44","0",1.00180686607301,6.02661796572184,"no","no"
"ERR2124096",0.28,99.57,98.8,18.11,"8.99","0.06",1.00779352218832,5.45554917418282,"no","no"
"ERR2124097",0.3,99.68,98.92,15.88,"7.59","0.01",1.00768297606467,6.22921881428093,"no","no"
"ERR2124098",0.21,99.69,98.83,17.8,"8.6","0.03",1.00870181110289,5.55224693526702,"no","no"
"ERR2124099",0.09,99.25,95.7,15.39,"7.55","0.01",1.03709508843161,6.2183232476723,"Possible contamination","no"
"ERR2124100",0.05,99.86,98.9,15.32,"7.2","0.01",1.00970677442157,6.45561322091298,"no","no"
"ERR2124101",0.05,99.89,99.74,16.21,"8.04","0.01",1.00150391015135,6.15299166236942,"no","no"
"ERR2124102",0.04,99.93,99.56,15.41,"7.33","0",1.00371635191125,6.46073942500069,"no","no"
"ERR2124103",0.06,99.61,97.71,16.17,"8.28","0.01",1.01944529710935,6.04267130224667,"no","no"
"ERR2124104",0.76,99.15,93.09,16,"6.98","0.02",1.0650982912762,5.81812469886721,"Possible contamination","no"
"ERR2124105",0.04,99.94,99.86,15.83,"7.86","0",1.00080112156218,6.30827509107548,"no","no"
"ERR2124106",0.04,99.92,99.86,16.35,"8.19","0.01",1.00060084117163,6.10764494754465,"no","no"
"ERR2124107",0.06,99.83,99.71,17.17,"8.95","0.07",1.00120349010928,5.80722161868249,"no","no"
"ERR2124108",0.05,99.91,99.75,16.33,"8.41","0.01",1.00160401000898,6.10838915441585,"no","no"
"ERR2145485",0.04,99.82,98.5,15.22,"6.69","0.07",1.01340101509238,6.47174734088388,"no","no"
"ERR2145486",0.3,99.55,96.73,14.83,"6.32","0.07",1.02915331304504,6.52258897352738,"Possible contamination","no"
"ERR2145487",0.4,99.36,89.41,13.36,"5.52","0.15",1.11128508990845,6.69236484338587,"Possible contamination","no"
"ERR2145488",0.29,99.45,94.68,14.84,"6.54","0.17",1.05038022760477,6.38005354581849,"Possible contamination","no"
"ERR2145489",1.02,98.81,85.31,13.95,"6.3","0.09",1.15824639364381,6.11541181968374,"Possible contamination","no"
"ERR2145490",0.13,99.76,98.66,15.61,"6.96","0.03",1.01114940187361,6.32030715436854,"no","no"
"ERR2145491",0.03,99.89,98.02,15.71,"7.03","0",1.01907773904226,6.23933766776972,"no","no"
"ERR2145492",0.03,99.8,98.06,14.7,"6.06","0",1.01774423804054,6.67074791355456,"no","no"
"ERR2145493",0.04,99.7,95.41,15.33,"6.79","0.02",1.04496383979705,6.22374395148441,"Possible contamination","no"
"ERR2145494",0.53,99.4,96.91,14.42,"5.73","0",1.02569394256843,6.72052664906195,"Possible contamination","no"
"ERR2145495",0.03,99.84,98.61,15.89,"7","0",1.01247337985525,6.20578947729456,"no","no"
"ERR2145496",0.41,99.49,95.05,13.74,"5.65","0",1.04671225621555,6.91775793902781,"Possible contamination","no"
"ERR2145497",0.2,99.65,95.26,14.69,"6.31","0.07",1.04608440010409,6.48468308477311,"Possible contamination","no"
"ERR2145498",0.38,99.53,96.73,14.6,"6.11","0.02",1.02894655195961,6.62534208045602,"Possible contamination","no"
"ERR2145499",0.83,99.08,91.35,14.83,"6.75","0",1.0846195940381,6.15981084559603,"Possible contamination","no"
"ERR2145500",0.37,99.55,93.31,14.21,"5.93","0",1.06687386060579,6.56650207132287,"Possible contamination","no"
"ERR2145501",0.12,99.79,97.35,15.48,"6.86","0",1.02506420107792,6.28875934827136,"Possible contamination","no"
"ERR2145502",0.28,99.63,97.33,15.22,"6.38","0.01",1.02363094602249,6.39487480979798,"no","no"
"ERR2145503",0.09,99.83,98.27,15.17,"6.3","0.01",1.01587463095681,6.47791658022963,"no","no"
"ERR2145504",0.09,99.84,98.29,15.68,"7.05","0.01",1.01576966104619,6.26849456195826,"no","no"
"ERR2145505",0.08,99.82,98.48,15.61,"6.88","0.04",1.01360682358238,6.3087760852802,"no","no"
"ERR2145506",0.07,99.85,98.81,15.54,"6.8","0",1.0105252503742,6.35842951361457,"no","no"
"ERR2145507",0.07,99.8,98.6,15.29,"6.66","0.04",1.01217038527211,6.44865889806024,"no","no"
"ERR2145508",0.17,99.63,93.96,14.41,"5.97","0",1.06034482694397,6.52047151141766,"Possible contamination","no"
"ERR2145509",0.1,99.78,98.09,14.92,"6.23","0.02",1.01722907516333,6.57439640922276,"no","no"
"ERR2145510",0.11,99.8,95.39,14.96,"6.15","0.01",1.04623126065383,6.37633653901494,"Possible contamination","no"
"ERR2145511",0.11,99.78,96.13,15.21,"6.31","0.01",1.03796941602029,6.32018373963289,"Possible contamination","no"
"ERR2145512",0.76,99.14,90.78,14.36,"6.31","0",1.09209076787739,6.32172664890483,"Possible contamination","no"
"ERR2145513",0.08,99.22,85.39,13.22,"5.75","0",1.16196275720854,6.45915238584324,"Possible contamination","no"
"ERR2145514",0.06,99.85,98.93,15.91,"6.79","0",1.00929950460629,6.21810149477678,"no","no"
"ERR2145515",0.04,99.83,98.83,15.59,"6.68","0.02",1.01011838500336,6.33931973448879,"no","no"
"ERR2145516",0.48,98.94,88.88,13.41,"5.93","0",1.11318631735839,6.6278892149225,"Possible contamination","no"
"ERR2145517",0.03,99.9,99.12,14.77,"5.97","0",1.00786924931528,6.71090008727826,"no","no"
"ERR2145518",0.03,99.87,99.38,14.36,"5.7","0.01",1.00493056948148,6.92061240107156,"no","no"
"ERR2145519",0.06,99.56,97.84,15.02,"6.24","0.24",1.01757972181542,6.51398099107983,"no","no"
"ERR2145521",0.04,99.88,97.48,15.27,"6.6","0",1.02462043470845,6.38375865201319,"no","no"
"ERR2145522",0.05,99.66,97.22,15.14,"6.55","0",1.02509771626108,6.42139990611625,"Possible contamination","no"
"ERR2145523",0.05,99.76,93.23,14.74,"6.4","0.01",1.07004183127704,6.32496571743788,"Possible contamination","no"
"SRR2993037",0.03,99.96,99.37,20.5,"10.55","0",1.00593740559588,4.84731688549674,"no","no"
"SRR2993039",0.55,99.45,99.4,18.87,"9.58","0",1.00050301810359,5.26762033557921,"no","no"
"SRR5266550",0.08,99.86,98.27,22.6,"11.64","0",1.01617991232136,4.34822994034381,"no","no"
"SRR6046043",5.89,93.76,1.36,0.04,"0.02","0.32",68.9411265138776,33.9991750206245,"Possible contamination","Possible contamination"
"SRR6046045",4.92,95.05,93.63,0.02,"0.01","0.01",1.01516607908613,4681.26598670066,"no","Possible contamination"
"SRR6046046",15.85,84,5.77,0.2,"0.04","0.04",14.5580565757268,28.8498607506962,"Possible contamination","Possible contamination"
"SRR6046049",4.01,95.57,70.52,0.03,"0.02","0.04",1.35521837272804,2350.5883470551,"Possible contamination","Possible contamination"
"SRR6046050",0.74,99.21,97.66,14.35,"6.54","0.02",1.01587139037609,6.80557450832233,"no","no"
"SRR6046053",25.01,74.78,42.6,0.07,"0.01","0.07",1.75539904330049,608.562749103584,"Possible contamination","Possible contamination"
"SRR6046054",31.2,23.56,14.86,0.43,"0.07","35.8",1.58546429438329,34.5580614928802,"Possible contamination","Possible contamination"
"SRR6046055",25.24,74.62,45.28,0.06,"0","0.04",1.64796818356961,754.654105764904,"Possible contamination","Possible contamination"
"SRR6046056",14.36,84.84,28.75,0.01,"0","0.7",2.95095645387978,2874.71262873713,"Possible contamination","Possible contamination"
"SRR6046080",4.34,95.36,93.12,0.21,"0.09","0.04",1.02405498255955,443.426464635883,"no","Possible contamination"
"SRR6046084",0.48,99.18,98.73,17.66,"8.39","0.32",1.00455788509513,5.59059996655719,"no","no"
"SRR6046085",8.86,91.08,1.35,0,"0","0.01",67.4666174321352,1350001,"Possible contamination","Possible contamination"
"SRR6046086",5.25,86.61,0.74,0.08,"0.04","7.29",117.040383729211,9.24989687628905,"Possible contamination","no"
"SRR6046087",32.76,59.36,2.83,0.32,"0.1","7.11",20.9752579592728,8.84372548835785,"Possible contamination","no"
"SRR6046091",4.3,95.32,65.94,0.03,"0.01","0.36",1.44555655981868,2197.9267691077,"Possible contamination","Possible contamination"
"SRR6046298",14.32,79.55,60.7,0.05,"0.01","5.96",1.3105436522151,1213.97574048519,"Possible contamination","Possible contamination"
"SRR6046299",35.47,64.3,15.51,0.26,"0.04","0.02",4.14571224076646,59.6536205629978,"Possible contamination","Possible contamination"
"SRR6046300",63.9,35.6,9.92,0.08,"0.01","0.37",3.58870941646074,123.998462519218,"Possible contamination","Possible contamination"
"SRR6046301",30.76,68.47,55.86,1.36,"0.14","0.63",1.22574292470922,41.0734999459559,"Possible contamination","Possible contamination"
"SRR6046302",0.5,99.33,96.79,0.03,"0.01","0.16",1.02624238014007,3226.22582580581,"Possible contamination","Possible contamination"
"SRR6046303",34.84,64.85,51.47,0.53,"0.08","0.12",1.25995725160371,97.1130262018373,"Possible contamination","Possible contamination"
"SRR6046304",3.15,96.74,6.6,0.04,"0.02","0.08",14.6575736882464,164.995900102497,"Possible contamination","Possible contamination"
"SRR6046305",0.2,99.79,98.51,0.08,"0.03","0.01",1.01299360457828,1231.35962050474,"no","Possible contamination"
"SRR6046306",0.32,99.66,99.58,15.25,"6.92","0.01",1.00080337416345,6.52983570296159,"no","no"
"SRR6046307",1.38,98.59,98.32,0.07,"0.02","0.02",1.00274613504123,1404.55137783746,"no","Possible contamination"
"SRR6046309",1.01,92.43,91.03,0.03,"0.01","6.41",1.01537954503593,3034.23222559248,"no","Possible contamination"
"SRR6046310",0.95,80.56,65.55,0.02,"0.01","17.85",1.22898550375308,3277.33618319084,"Possible contamination","Possible contamination"
"SRR6046311",1.71,71.57,70.9,4.12,"1.99","26.38",1.00944992934485,17.2087339299189,"no","Possible contamination"
"SRR6046312",2.22,97.69,1.09,0.03,"0.01","0.07",89.6237719047964,36.3321555948135,"Possible contamination","Possible contamination"
"SRR6046313",0.1,99.9,99.8,18.66,"8.72","0",1.00100200399798,5.34833845936021,"no","no"
"SRR6046314",2.61,73.98,65.64,3.41,"1.38","23.14",1.12705667082485,19.2492615104805,"Possible contamination","Possible contamination"
"SRR6046315",4.79,91.64,90.68,0.05,"0.02","3.41",1.01058667831289,1813.56374872503,"no","Possible contamination"
"SRR6046316",4.37,95.58,26.79,0.04,"0.01","0.03",3.56774906428708,669.733281667958,"Possible contamination","Possible contamination"
"SRR6046317",31.75,68.08,52.39,0.62,"0.1","0.02",1.29948462875578,84.4998653227979,"Possible contamination","Possible contamination"
"SRR6046318",2.49,97.32,0.43,0.02,"0.01","0.18",226.325057383587,21.4989750512474,"Possible contamination","Possible contamination"
"SRR6046319",5.85,90.59,0.18,0.01,"0.01","0.01",503.274987361181,17.998300169983,"Possible contamination","Possible contamination"
"SRR6046322",2.16,97.81,96.49,0.03,"0.01","0.01",1.01368017396953,3216.22615912803,"no","Possible contamination"
"SRR6046323",47.37,52.39,17.37,0.2,"0.01","0.08",3.01611963062063,86.8495707521462,"Possible contamination","Possible contamination"
"SRR6046325",40.02,59.76,17.26,0.2,"0.03","0.09",3.46234052941248,86.2995735021325,"Possible contamination","Possible contamination"
"SRR6046326",0.87,99.05,0.4,0.05,"0.02","0.01",247.624383439041,7.99986000279994,"Possible contamination","no"
"SRR6046327",37.05,62.78,48.68,0.63,"0.13","0.02",1.2896466661946,77.2697202067933,"Possible contamination","Possible contamination"
"SRR6046328",3.14,96.85,95.04,0.01,"0","0",1.01904461259423,9503.0497950205,"no","Possible contamination"
"SRR6046330",41.11,58.15,19.33,0.22,"0.02","0.13",3.00827718529347,87.8632415307203,"Possible contamination","Possible contamination"
"SRR6046331",7.12,92.81,25.14,0.02,"0","0.02",3.69172622546833,1256.93720313984,"Possible contamination","Possible contamination"
"SRR6046333",9.46,83.74,57.74,0.01,"0","6.61",1.4502944154781,5773.42275772423,"Possible contamination","Possible contamination"
"SRR6046334",0.14,99.83,99.77,12.68,"4.1","0.02",1.00060138317529,7.86829598830473,"no","no"
"SRR6046335",33.17,66.67,51.31,0.6,"0.11","0.02",1.29935684468219,85.5165258057903,"Possible contamination","Possible contamination"
"SRR6046336",6.97,92.99,26.66,0.05,"0.01","0.01",3.4879969059266,533.189356212876,"Possible contamination","Possible contamination"
"SRR6046337",3.92,94.97,92.24,0.03,"0.01","1.08",1.02959670392892,3074.56421452618,"Possible contamination","Possible contamination"
"SRR6046338",13.06,86.57,21.36,0.05,"0.02","0.31",4.0529024787967,427.191476170477,"Possible contamination","Possible contamination"
"SRR6046339",18.68,81.13,45.37,0.07,"0.01","0.09",1.78818600863597,648.133612376966,"Possible contamination","Possible contamination"
"SRR6046340",4.72,95.25,1.07,0.02,"0.01","0.01",89.0186093284025,53.4973751312434,"Possible contamination","Possible contamination"
"SRR6046341",1.49,98.49,97.91,0.04,"0.01","0.02",1.00592380751789,2447.68883277918,"no","Possible contamination"
"SRR6046342",0.17,99.82,97.76,0.02,"0.01","0",1.02107201287774,4887.75566221689,"no","Possible contamination"
"SRR6046344",35.46,64.38,35.24,0.07,"0.01","0.02",1.82690122511631,503.421393980086,"Possible contamination","Possible contamination"
"SRR6046345",0.44,99.34,98.09,4.53,"2.15","0.22",1.01274339878944,21.6534170743009,"no","Possible contamination"
"SRR6046346",1.56,98.39,96.55,0.06,"0.01","0.05",1.01905748297196,1609.13986433559,"no","Possible contamination"
"SRR6046347",5.51,94.32,75.18,0.1,"0.01","0.1",1.25458898304617,751.792492075079,"Possible contamination","Possible contamination"
"SRR6046348",1.45,98.53,97.9,0.03,"0.01","0.01",1.00643513783008,3263.22459251358,"no","Possible contamination"
"SRR6046349",28.64,71.21,55,1.32,"0.12","0.03",1.2947272673686,41.6666358586092,"Possible contamination","Possible contamination"
"SRR6046350",1.89,98.08,97.19,0.01,"0.01","0.02",1.00915732061779,9718.02829717028,"no","Possible contamination"
"SRR6046352",7.06,92.83,26.78,0.07,"0.02","0",3.46639273837219,382.565977628891,"Possible contamination","Possible contamination"
"SRR6046353",30.45,69.15,51.1,0.62,"0.11","0.24",1.3532289559055,82.4192235173814,"Possible contamination","Possible contamination"
"SRR6046355",8.18,90.35,15.49,0.03,"0.01","1.39",5.83279503984538,516.316156128129,"Possible contamination","Possible contamination"
"SRR6046356",7.52,90.82,89.73,0.04,"0.01","1.59",1.01214755363705,2243.19394515137,"no","Possible contamination"
"SRR6046357",44.5,55.33,42.87,0.48,"0.08","0.02",1.29064613271178,89.3123160160083,"Possible contamination","Possible contamination"
"SRR6046360",3.7,96.23,92.51,0.01,"0.01","0.06",1.04021186855246,9250.07509249075,"Possible contamination","Possible contamination"
"SRR6046361",26.56,73.07,9.69,0.02,"0.01","0.21",7.54076299888927,484.475826208689,"Possible contamination","Possible contamination"
"SRR6046362",22.99,76.44,69.78,0.71,"0.1","0.02",1.09544281892458,98.2815531245731,"Possible contamination","Possible contamination"
"SRR6046363",9.71,90.17,86.7,0.1,"0.04","0.05",1.04002306758912,866.991340086599,"Possible contamination","Possible contamination"
"SRR6046365",5.6,88.19,1.1,0.01,"0","6.06",80.1726552975861,109.989101089891,"Possible contamination","Possible contamination"
"SRR6046366",2.26,27.03,25.59,0.02,"0.01","69.08",1.05627197904369,1279.43607819609,"Possible contamination","Possible contamination"
"SRR6046367",2.23,97.65,95.49,0.03,"0.01","0.11",1.02262016941439,3182.89393686877,"no","Possible contamination"
